Sample (1000 Ep),Avg Loss (1000 Eps), Overall Avg Loss
0.0,nan,0.0
1.0,0.22888298492730236,0.22865433059670565
2.0,0.131401577858,0.18005225526501864
3.0,0.10365022565699988,0.15459339834798477
4.0,0.10057723386599995,0.14109273239397688
5.0,0.08731770311999996,0.1303398771102383
6.0,0.07130669776100003,0.12050265342264678
7.0,0.07357367870600001,0.11379947177478959
8.0,0.06963025177299996,0.10827900933237096
9.0,0.061732123647999994,0.103107707734285
10.0,0.06810813834100007,0.09960810075565424
11.0,0.07157286950620001,0.09705967504440494
12.0,0.05417450203040004,0.09348620841545688
13.0,0.06114417837359998,0.09099855130893789
14.0,0.06674313952529999,0.08926614563908311
15.0,0.07105677384859996,0.08805226844486394
16.0,0.07320747221000011,0.08712452666404627
17.0,0.07494678364649994,0.08640823097452542
18.0,0.08331090504850008,0.08623616687108515
19.0,0.07632377781149997,0.08571448964043486
20.0,0.08693391281000003,0.08577545775050767
21.0,0.09596886747150012,0.08626083510020477
22.0,0.09819062809549998,0.08680307377096046
23.0,0.10901574784700006,0.08776880022094263
24.0,0.11475986779800006,0.08889338117911322
25.0,0.11676708326799994,0.09000828466652913
26.0,0.10801378351000014,0.09070077721848784
27.0,0.11155199854499998,0.09147301607358628
28.0,0.11297624785200011,0.092240961210489
29.0,0.11337966530500011,0.09296985690699976
30.0,0.111491729981,0.09358723209696025
31.0,0.11143553901899991,0.09416296536111429
32.0,0.12060587061660004,0.09498928032800548
33.0,0.12173225134800005,0.09579964883259598
34.0,0.11637125609900009,0.09640467831015273
35.0,0.10426280103200013,0.09662918968759461
36.0,0.11410096542900003,0.09711450331058848
37.0,0.12434339443999998,0.09785039939797562
38.0,0.12772260502800015,0.09863648938587133
39.0,0.132804119233,0.09951255999552575
40.0,0.11541143073800009,0.09991002182754165
41.0,0.13276177894100016,0.10071126465365486
42.0,0.12967875378200008,0.10140095035466984
43.0,0.1317432766990001,0.10210656944130338
44.0,0.14398157062699998,0.10305825238454777
45.0,0.14423835424000006,0.10397334542371289
46.0,0.1466545001950002,0.10490117644415355
47.0,0.1420446467089998,0.1056914462312824
48.0,0.14877874490699997,0.10658907958633163
49.0,0.13841472904199997,0.10723856938155339
50.0,0.14426649864600022,0.10797911315596694
51.0,0.15123077703100019,0.10882716836812023
52.0,0.14408987326800002,0.10950528426781202
53.0,0.1357652958519999,0.1100007468361445
54.0,0.1437293513350001,0.11062533905663795
55.0,0.15507106754299993,0.11143342851839998
56.0,0.16808874473700017,0.11244511252794624
57.0,0.16254482103100013,0.11332403936261663
58.0,0.16559049257499978,0.11422516957092997
59.0,0.1650951509029999,0.11508735803099122
60.0,0.157936608511,0.11580150030328681
61.0,0.188647313632,0.11699567438778864
62.0,0.19350894922999992,0.11822973956161185
63.0,0.17288372375899996,0.11909724935030382
64.0,0.17523015872500008,0.1199743123551742
65.0,0.167945701025,0.12071232236532516
66.0,0.203126575183,0.12196100424617072
67.0,0.18457870902800017,0.12289558290591988
68.0,0.16753705785400005,0.1235520655304117
69.0,0.17629161072399985,0.12431639568785247
70.0,0.1991245563879999,0.12538506843110112
71.0,0.16917678793600016,0.12600184452587346
72.0,0.163686953913,0.1265252415535138
73.0,0.17751257044000004,0.12722368854583607
74.0,0.18182591247199986,0.1279615464656772
75.0,0.18149505495199986,0.12867531706188695
76.0,0.179491964133,0.12934394835714755
77.0,0.19218891100200014,0.13016010610373335
78.0,0.18306895234699996,0.13083841594903373
79.0,0.17020092207300005,0.13133666921321996
80.0,0.19819082280100003,0.13217233568723644
81.0,0.1680467017340001,0.13261522362746897
82.0,0.18763171618599989,0.13328614828154078
83.0,0.203269693279,0.13412931336385867
84.0,0.1838773448920001,0.1347215447840577
85.0,0.19226642221899978,0.13539853537752058
86.0,0.19737302456199995,0.1361191605933257
87.0,0.18529343181100003,0.1366843756048507
88.0,0.19582547199599998,0.13735642588145158
89.0,0.2068819549609999,0.13813760282417706
90.0,0.19288549859100007,0.13874590601821732
91.0,0.1898198220339999,0.13930715167503205
92.0,0.19987519883400004,0.1399654928578344
93.0,0.20496028297100005,0.14066435405409217
94.0,0.2248890884740002,0.1415603523351733
95.0,0.1895582827609996,0.14206558838980232
96.0,0.21475695396199987,0.14282278222707698
97.0,0.21910425227499966,0.14360918102758344
98.0,0.22309355146999998,0.14442023775600898
99.0,0.1965784573720003,0.1449470831375303
100.0,0.20775065409100002,0.1455751125667709
101.0,0.20244143203300005,0.14613813985824578
102.0,0.21305683624299956,0.14679419907712335
103.0,0.2232465764720002,0.14753644796203594
104.0,0.2202504176249999,0.14823561402450613
105.0,0.187902153365,0.14861338699181612
106.0,0.20445020326099986,0.1491401444400402
107.0,0.1993455931439999,0.14960934985591454
108.0,0.19318986632899998,0.15001286942029887
109.0,0.2096086919639998,0.1505596150698227
110.0,0.2073592964450002,0.1510759711154509
111.0,0.1864892914129999,0.15139500716285187
112.0,0.19052799481699995,0.15174440571870512
113.0,0.1993100688159999,0.15216533706530677
114.0,0.21383513457900016,0.15270629545614256
115.0,0.1979857054349999,0.15310002603221418
116.0,0.19040953765200017,0.1534216569803937
117.0,0.20866859632900026,0.15389384900737316
118.0,0.21496453574100008,0.15441139281406654
119.0,0.22559131669700008,0.15500953840849827
120.0,0.21539842037599982,0.15551277489792334
121.0,0.20610740546800005,0.15593090888499866
122.0,0.24390573022599993,0.1566520080673086
123.0,0.22368797419400002,0.15719701149107518
124.0,0.18852595383600013,0.1574496622144155
125.0,0.18133899560400008,0.157640775352627
126.0,0.20953667281900015,0.15805264428594024
127.0,0.19476390564499976,0.15834170705992628
128.0,0.19137668607299999,0.15859979081718692
129.0,0.2131685029829999,0.159022800810643
130.0,0.22520711290999995,0.15953190698751338
131.0,0.2176854325699998,0.15997582364145113
132.0,0.20590280628000018,0.16032375269228044
133.0,0.18402868337700004,0.16050198391373552
134.0,0.19224407385799988,0.16073886341421856
135.0,0.20715881535500016,0.16108271236304703
136.0,0.22562290344399996,0.16155726910219542
137.0,0.22598053687000008,0.16202750850021297
138.0,0.21488411519000006,0.16241052461379027
139.0,0.22477664923,0.16285919854143246
140.0,0.2033611396280003,0.16314849605421133
141.0,0.21699861892399983,0.1635304091106422
142.0,0.20781307012900008,0.16384225664001453
143.0,0.2003851081660002,0.1640977992692687
144.0,0.2017247994750001,0.16435909606724755
145.0,0.20493628161400007,0.1646389367962549
146.0,0.23550679827400017,0.16512432978313657
147.0,0.22319876438300007,0.16551939127659496
148.0,0.21120828514400022,0.16582809793308662
149.0,0.20532091048599996,0.16609314858746405
150.0,0.19682884487799993,0.16629805186337918
151.0,0.21694042520099976,0.16663342959821265
152.0,0.21853205277000004,0.1669748656622634
153.0,0.19520485909900015,0.16715937421734994
154.0,0.2195686513700002,0.16749969198900488
155.0,0.22593761578399998,0.1678767084198342
156.0,0.23580474546399982,0.16831214176349313
157.0,0.2170061268060001,0.16862229255898153
158.0,0.20870659872200004,0.16887598909358043
159.0,0.22459556986299997,0.16922642450448602
160.0,0.23297221571999996,0.1696248332095289
161.0,0.23117698101000012,0.17000714231195965
162.0,0.23267526908399985,0.1703939802127876
163.0,0.21188774932300025,0.17064854165173732
164.0,0.2073966988190002,0.1708726144145088
165.0,0.22150290336800013,0.1711794627909033
166.0,0.22765933901999988,0.17151970095952368
167.0,0.22306730706199993,0.1718283674112364
168.0,0.21294112956600025,0.17207308477693567
169.0,0.19993467144400023,0.17223794526099814
170.0,0.1704769186910002,0.17222758634210958
171.0,0.1891807948549997,0.1723267273325886
172.0,0.18990621250199963,0.17242893304749365
173.0,0.18363371195,0.17249370018122426
174.0,0.20153437583100003,0.17266059965680042
175.0,0.21204045531000013,0.17288562611752442
176.0,0.2011061706169998,0.1730459692093225
177.0,0.19542700217199988,0.17317241500885278
178.0,0.19590696683899997,0.17330013649260956
179.0,0.1654519394789998,0.1732562920614966
180.0,0.16355386666399976,0.17320238999763302
181.0,0.20507626423599995,0.17337848777741532
182.0,0.17890564687899999,0.1734088566166065
183.0,0.19125269522300004,0.1735063633985714
184.0,0.18506061032700016,0.17356915787756025
185.0,0.19146389641200043,0.1736658856711097
186.0,0.18449984490500002,0.17372413245061002
187.0,0.18368766193599995,0.17377741307202607
188.0,0.18479492730099997,0.17383601655939562
189.0,0.20729988620799975,0.17401307313395648
190.0,0.204843176279,0.17417533598070498
191.0,0.19057335655800017,0.1742611890420887
192.0,0.19024555459000045,0.17434444051238274
193.0,0.20020988442600018,0.1744784576621057
194.0,0.181152489997,0.17451285971330535
195.0,0.1820357395180002,0.174551438386259
196.0,0.17757376264500008,0.17456685832931462
197.0,0.17001544354199985,0.1745437548182298
198.0,0.18995517371700027,0.17462158987410706
199.0,0.16714936714099954,0.17458404120483856
200.0,0.1875973770910001,0.1746491075589374
